,Unit-1,Unit-2,Unit-3,Unit-4,Unit-5
0,86.66666666666667,61.66666666666667,90.0,79.90196078431373,86.66666666666667
1,78.33333333333333,55.00000000000001,77.82051282051282,66.9607843137255,71.66666666666667
2,85.00000000000001,60.0,71.28205128205127,68.62745098039215,76.66666666666666
3,70.0,46.666666666666664,81.15384615384616,57.745098039215684,73.33333333333334
4,81.66666666666667,53.333333333333336,80.64102564102565,67.3529411764706,78.33333333333334
5,80.0,64.99999999999999,82.3076923076923,74.90196078431373,73.33333333333334
6,65.0,56.666666666666664,69.48717948717949,74.90196078431373,73.33333333333334
7,65.0,50.0,79.48717948717949,71.56862745098039,73.33333333333334
8,71.66666666666667,46.666666666666664,68.46153846153847,56.96078431372549,75.0
9,64.99999999999999,61.66666666666667,72.82051282051283,55.68627450980392,66.66666666666666
10,73.33333333333334,63.33333333333333,73.97435897435898,60.29411764705883,75.0
