SN,Name of Institute,Institute Type,Diploma/PCL Program,Quota,Applicant,Pre-diploma Program,Quota,Applicant
1,"ANANDAJYOTI SECONDARY SCHOOL, BEGNAS, KASKI",TECS,,,,Agriculture/Plant Science,-40,32
2,"BARAHA SECONDARY SCHOOL, BHINDABARI, KASKI",TECS,,,,Livestock Production/Animal Health,-40,25
3,"BARCHULI SECONDARY SCHOOL, DEVCHULI, NAWALPARASI (EAST)",TECS,,,,Livestock Production/Animal Health,-40,10
4,"BHAGABATI HIMALAYA SECONDARY SCHOOL, BATASHE, GORKHA",TECS,,,,Automobile Engineering,-40,21
5,"BHAGYODAYA SECONDARY SCHOOL, UJELIDANDA, SYANGJA",TECS,,,,Agriculture/Plant Science,-40,25
6,"BHAIRAWASHRAM SECONDARY SCHOOL, PHUJEL, GORKHA",TECS,,,,Computer Engineering,-40,8
7,"BHURUNG CHAUKI SECONDARY SCHOOL, BIRUWA, SYANGJA",TECS,,,,Civil Engineering,-40,21
8,"BIRENDRA SECONDARY SCHOOL, BALAM JAIPATE, SYANGJA",TECS,,,,Electrical Engineering,-40,20
9,"BIRENDRA SECONDARY SCHOOL, PAKUWA, PARBAT",TECS,,,,Agriculture/Plant Science,-40,12
10,"CHANDRA JYOTI SECONDARY SCHOOL, TANAHUN",TECS,,,,Civil Engineering,-40,3
11,"DHAWALAGIRI TECHNICAL SCHOOL, LETE, MUSTANG",Constituated,,,,Culinary Arts,-30,12
,,,,,,Hotel Management (Apprenticeship Model),-20,20
12,"GANDAKI POLYTECHNIC INSTITUTE, POKHARA, KASKI",Partnership,,,,Civil Engineering Building Construction (Apprenticeship Model),-20,12
,,,,,,Early Childhood Development (ECD) Facilitation (Apprenticeship Model),-20,20
13,"GANDAKI TECHNICAL INSTITUTE, POKHARA, KASKI",Private,,,,Livestock Production/Animal Health,-40,7
14,"JANAGANPATI SECONDARY SCHOOL, MYAGDE, TANAHUN",TECS,,,,Livestock Production/Animal Health,-40,22
15,"JANATA SECONDARY SCHOOL, MAGARKOT, NAWALPARASI (EAST)",TECS,,,,Civil Engineering Building Construction (Apprenticeship Model),-35,35
16,"KISANI SECONDARY SCHOOL, MYAGDI",TECS,,,,Agriculture/Plant Science,-40,17
17,"MAHENDRA JYOTI SECONDARY SCHOOL, LUNKHU, PARBAT",TECS,,,,Agriculture/Plant Science,-40,21
18,"NEPAL TARA SECONDARY SCHOOL, RANIPANI, PARBAT",TECS,,,,Agriculture/Plant Science,-40,16
19,"NEPALI SENA VOCATIONAL AGRICULTURE AND ANIMAL TRAINING CENTER, LAMJUNG",Private,,,,Agriculture/Plant Science,-40,18
,,,,,,Livestock Production/Animal Health,-40,30
20,"NIRMAL SECONDARY SCHOOL, BHADGAUN, TANAHUN",TECS,,,,Civil Engineering Building Construction (Apprenticeship Model),-20,20
21,"PABITRA SECONDARY SCHOOL, TANAHUN",TECS,,,,Civil Engineering,-40,28
22,"PASCHIMANCHAL PRABIDHIK SHIKSHALAY, SHUKLAGANDAKI, TANAHUN",Private,,,,Social Mobilization,-40,14
23,"POKHARA ENGINEERING COLLEGE, POKHARA, KASKI",Private,,,,Civil Engineering,-40,13
24,"POKHARA TECHNICAL SCHOOL, PHULBARI , KASKI",Constituated,,,,Hotel Management,-40,24
,,,,,,Hotel Management (Apprenticeship Model),-20,20
25,"PRADYUMNA PANERU SECONDARY SCHOOL, RANGETHANTI, SYANGJA",TECS,,,,Agriculture/Plant Science,-40,20
26,"RANABIR JANAHIT SECONDARY SCHOOL, WALING, SYANGJA",TECS,,,,Electrical Engineering,-40,23
,,,,,,Electrical Engineering (Apprenticeship Model),-20,20
27,"RURAL TRAINING CENTRE, SIMPANI, LAMJUNG",Constituated,,,,Agriculture/Plant Science,-40,11
28,"SARBODAYA SECONDARY SCHOOL, LAMJUNG",TECS,,,,Computer Engineering,-40,20
29,"SHIVA SECONDARY SCHOOL, ATRAULITAR, NAWALPARASI (EAST)",TECS,,,,Civil Engineering,-40,21
,,,,,,Civil Engineering Building Construction (Apprenticeship Model),-40,40
30,"TANGLICHOK SECONDARY SCHOOL, PATISWARA, GORKHA",TECS,,,,Agriculture/Plant Science,-40,6
31,"TRIBHUVAN SECONDARY SCHOOL, PAIYUNPATA, BAGLUNG",TECS,,,,Agriculture/Plant Science,-40,14
Total,,,,,0,,,701
Grand Total,,,,,0,,,701
